# p1 - c2 sync,p2 - c4 sync,c2 - p1,c4 - p2
<<<<<<< HEAD
14118.97993,12111.98688,0.70095,47.49990
25.40517,23.02194,66.13398,45.51816
26.55506,61.59592,44.04902,43.67304
23.99421,83.69088,43.34402,60.31704
25.92802,23.54598,95.35503,196.17915
283.65898,282.62281,44.52491,214.71405
25.96593,26.11184,45.04108,45.91608
34.84607,23.61584,49.32284,45.06588
48.10381,29.25801,46.52190,47.62983
35.90298,23.83804,46.75603,44.96598
45.16602,742.89799,45.62902,35.59709
23.80419,24.33014,42.59992,46.04983
35.50100,28.44787,45.46905,48.25306
54.66199,42.88387,45.96901,45.32003
68.83216,115.85307,43.77007,46.35811
1275.97690,484.95793,183.29811,46.65709
49.88194,81.06804,46.13090,44.81006
30.24697,26.04890,43.44082,46.46802
24.71185,32.80902,184.16882,50.94504
32.95183,60.49681,52.73104,54.24309
72.03913,36.03101,44.06810,47.79696
112.07509,114.56585,45.45999,44.87896
25.80881,25.39897,45.66813,198.67611
31.04901,331.16603,45.98093,233.34813
27.70901,47.82295,51.48411,45.42804
37.26101,23.51809,51.34797,44.99722
310.21810,227.87905,113.41190,25.06399
631.98400,22.74895,23.16403,46.84901
23.48900,375.20504,45.99786,50.75288
26.13902,26.95799,43.38098,43.89501
26.97206,24.21403,46.80300,182.04117
23.44012,278.21398,44.38496,214.67996
24.34015,26.13401,44.24810,44.61694
28.12910,33.18501,44.23213,45.56322
49.95489,23.07892,45.80116,63.84182
28.07903,47.02806,46.75198,100.39997
33.91385,388.41200,47.27697,44.92307
28.98717,27.67587,83.32181,46.41914
29.09684,24.04594,67.90400,45.84384
28.24903,35.93183,44.31796,44.85703
25.14005,24.85299,44.39211,46.29397
24.24693,127.18606,45.87102,182.76119
23.39602,83.12511,46.54193,53.16186
32.39489,231.04405,46.22889,50.20499
27.62008,25.21896,66.82587,45.63403
1057.44600,26.59988,44.77787,71.17319
987.44893,30.09987,25.63190,189.68105
27.25887,29.29807,45.49885,184.46898
24.82200,30.37000,44.42787,55.73297
37.69684,45.68005,47.53494,55.98211
28.19419,23.80395,183.28905,45.49003
49.36719,23.20290,74.47910,46.97800
24.95313,29.58798,44.72089,48.44093
27.34709,523.22197,50.29893,101.46213
107.86200,38.48100,47.80698,57.36399
324.68009,397.34697,0.65303,29.30713
23.82708,27.56405,46.24391,52.35815
27.44317,60.79888,53.82705,155.04694
25.40612,632.09581,92.09895,394.42110
69.12398,27.36902,140.32602,46.78583
29.55508,31.44002,46.50903,45.30311
30.35808,23.08297,48.29097,46.31805
898.00382,23.79298,75.82998,50.29988
23.66281,23.39196,44.92188,50.39716
24.23692,42.80210,44.96098,44.47198
29.70910,25.09212,45.48407,95.39700
91.31694,441.34998,63.72404,44.84200
27.40002,24.89209,45.03608,44.83891
28.71799,30.98106,51.32389,106.85992
36.95893,96.82584,44.49415,57.94287
27.57215,26.06893,212.66699,50.62604
111.40108,24.14584,184.48782,46.00000
163.77997,35.14600,79.26106,44.92402
25.63596,92.40198,45.51697,50.55404
143.52703,709.01108,44.66009,32.63307
28.27406,24.16706,47.40906,157.26089
23.87214,59.95607,44.23380,60.48012
26.45516,27.54998,45.31407,46.56887
25.55490,285.37107,45.12310,44.93713
48.40088,25.17295,45.75801,153.03612
32.07302,47.82104,54.39901,44.15512
67.79599,34.29198,47.90711,44.51895
29.01697,24.56999,118.24989,156.13890
47.77312,23.45610,45.15600,46.33498
30.84779,31.21400,352.17690,46.35501
27.30107,64.31103,45.33410,184.91316
33.25796,120.36109,45.09211,46.02098
69.39507,29.90580,43.86711,45.89510
84.75995,545.87197,47.94621,21.98601
70.39905,24.89114,46.38100,46.88787
28.28813,25.14005,44.26217,68.62712
27.53401,23.54407,76.86400,69.03315
24.85490,24.20807,50.66919,45.10093
30.89213,30.79605,48.38896,44.95120
26.66998,31.44407,93.97697,70.50800
24.62912,23.26107,64.91303,195.51110
24.15299,535.61497,43.90216,24.60504
50.52185,23.23198,46.99206,45.29285
23.81110,26.17693,103.14393,49.43681
24.44506,23.20504,46.48995,47.02592
24.93906,22.95804,46.89312,46.90480
25.05517,28.56612,44.22879,45.82715
1091.62211,31.02207,24.92499,50.22407
32.49598,26.62396,206.01797,69.12398
44.53588,734.66396,44.48199,74.68486
28.16296,53.76291,47.01400,195.03903
532.81093,26.58486,30.63202,65.44304
30.83491,32.37200,46.64111,57.42002
26.68595,30.20406,50.29511,45.99500
25.92492,22.55416,44.70396,183.41899
28.70893,23.95511,47.18614,85.67286
53.37405,32.58514,83.33397,44.47699
75.90103,28.03779,46.03791,182.90997
95.25013,83.54592,45.40706,184.06582
33.96201,31.13103,43.91098,81.46000
32.12118,25.26808,46.92698,70.21308
29.41203,28.16582,44.30795,46.24701
28.45192,24.64199,50.69089,47.35088
468.24193,26.90911,23.75317,46.57912
25.39706,96.21692,50.44985,195.15800
443.09402,22.50695,177.20914,45.54892
98.55318,255.32413,43.72597,24.09601
47.41192,31.46815,44.16084,45.50004
77.49510,26.84093,52.92916,46.41008
331.59399,48.34914,22.96090,184.32188
106.38189,296.08512,54.47197,46.17405
337.42690,28.78189,46.69213,48.18487
96.32087,23.58294,54.00991,190.33504
27.15492,56.45800,55.80711,48.06495
63.77602,27.22192,45.53819,48.59090
28.49698,30.36785,68.35794,48.59900
23.25797,24.37806,43.72191,47.15705
89.23507,23.84710,80.03092,46.90385
24.08218,23.21482,68.59493,44.62600
26.98708,893.88299,43.35690,23.07200
28.24903,31.78716,183.64286,46.03291
38.42497,23.74887,141.76202,78.36199
165.78293,29.37317,44.87395,45.27497
29.31905,368.79706,45.32480,24.37282
65.19699,27.94790,67.03901,47.28794
63.06481,23.96417,47.97983,43.79296
26.53408,23.54002,47.30606,48.25592
40.37619,24.96219,45.78495,45.76397
30.24483,226.78709,44.89088,22.57299
26.66998,226.44520,44.34013,31.92592
24.35708,23.90909,90.44600,46.39888
28.71895,57.06692,66.76698,55.01008
26.15595,23.41700,47.15896,46.72503
28.06711,23.69308,60.74095,46.18287
32.30119,30.14302,54.59905,203.34196
23.40388,24.66893,48.14196,46.76509
26.74389,526.00288,44.04688,23.46611
117.28907,23.88000,22.11785,47.79196
24.40119,33.59413,105.56483,183.19988
52.08087,23.89717,44.91186,48.82097
