# p1 - c1 sync,p1 - c4 sync,p2 - c2 sync,p2 - c5 sync,c1 - p1,c2 - p2,c4 - p1,c5 - p2
<<<<<<< HEAD
12234.70592,18237.43415,7051.83411,13160.51006,105.60012,0.00000,106.65393,0.00000
39.05702,72.54720,72.70288,38.79380,41.78190,45.10093,45.20583,0.00000
1012.88295,78.60279,37.06408,37.27603,24.06001,118.86001,66.18214,74.28503
36.98492,185.93192,142.37618,37.48202,125.73910,44.54303,69.94319,127.21419
1018.56685,109.61986,62.92796,789.78109,37.69207,55.29213,67.91711,46.26703
199.37611,1622.81895,41.57901,1462.20589,22.47906,111.86290,34.26313,117.07091
42.82594,43.51783,93.68205,92.75603,117.21897,64.65507,116.00399,65.42897
38.93209,38.25212,36.68904,36.90195,65.01794,44.76213,65.97090,44.22498
35.05993,34.26099,36.13019,36.03816,65.75918,45.08591,66.48517,45.00103
35.15005,35.19106,35.11691,35.55703,45.72892,43.94007,45.89105,43.39695
269.90485,92.40580,65.56797,65.64498,22.94183,45.88795,44.56687,46.50807
37.78601,37.71210,46.07201,45.34221,46.07606,44.70301,109.92885,45.05396
39.95895,40.11106,36.26704,35.99620,45.95709,185.63199,45.79282,214.15591
35.68506,35.70604,33.92410,36.40008,43.79320,50.14110,43.68305,47.18995
39.30402,39.95395,48.30194,448.16899,44.85106,44.98005,44.57593,204.63800
48.11311,47.30511,38.42902,37.17113,99.41602,75.55914,100.40307,49.70980
1093.28794,1093.42480,35.86388,35.74085,44.65294,45.12906,44.05212,45.56918
45.16292,45.47501,42.95802,42.54103,45.81904,46.28015,45.17007,211.99203
69.19193,47.11604,190.45901,189.37993,46.86499,46.22197,68.46905,571.63715
40.09080,41.08691,95.40701,280.79581,45.71009,45.59398,44.45004,427.04487
41.81695,42.26685,43.42508,43.54501,183.72798,47.05191,43.66302,398.44799
35.22205,1287.30893,35.56919,36.74197,47.30487,48.04611,21.79408,47.34612
126.26290,125.94581,324.51510,99.18404,45.18700,23.65804,249.29905,45.48407
35.02512,35.88319,35.30312,36.01599,44.65199,93.99796,44.02113,93.30082
290.73095,40.00497,76.48301,76.01094,22.10402,66.60199,45.87507,67.85202
35.41923,35.28023,42.42802,42.75203,182.80292,44.78097,108.33907,44.33513
36.89098,35.94899,35.99191,35.30097,44.53087,45.40205,45.59708,46.16904
1196.08498,39.48784,34.21783,34.20401,22.95613,45.21608,44.64197,45.13407
57.76691,57.77001,38.03682,37.85586,88.12189,47.02520,182.13820,46.58294
35.79903,36.64303,36.08489,35.76994,45.35604,45.95304,44.61718,46.03982
44.44909,44.30699,34.53016,34.85608,46.29993,46.92793,46.32187,46.42582
36.26704,36.27610,35.52294,402.14181,130.17607,45.68315,129.54688,448.40002
39.74295,74.41711,67.97600,35.31313,44.39688,46.68593,45.48311,44.90614
35.94112,63.04193,80.44481,33.42199,48.06495,187.73818,65.49120,46.18001
36.45182,95.99400,73.08912,36.91602,47.07193,46.47803,44.26098,45.97592
36.56602,36.06200,106.55308,130.60403,46.01192,46.43393,46.04101,44.62814
48.28405,48.89107,36.21197,1799.02005,132.09605,188.22002,131.19507,184.79586
160.52985,160.26402,43.91408,43.48707,51.20087,150.06495,50.41909,148.33713
315.68694,154.83499,133.24809,36.97610,22.83692,44.66414,66.09607,107.90205
36.62086,69.20099,69.62299,52.76203,43.76197,44.11817,44.44981,49.98207
34.83605,34.46317,34.79695,35.47883,44.57116,245.27097,45.78900,46.15211
1030.09701,75.86789,98.97590,39.05606,33.37097,364.15601,45.62306,48.78902
112.52093,46.58103,36.64494,118.35814,388.37600,44.53778,151.34788,46.22602
41.27407,40.76719,43.16211,42.56010,45.86411,44.62099,223.48499,45.01390
56.95200,90.67607,91.74705,56.70404,182.15203,44.16394,44.67106,46.07487
38.50889,82.52692,58.26497,34.97982,43.64800,44.28697,43.93005,67.01207
37.96196,1067.54184,38.71202,38.17296,44.34204,182.99007,21.84010,47.04714
48.83909,48.75898,80.59502,80.37090,46.56005,47.25695,46.45205,48.59686
107.71108,108.72817,227.95105,42.42992,44.51704,57.04999,43.83111,44.22903
45.02892,44.95883,59.38005,58.63690,44.76619,44.30509,44.63601,44.98601
41.91613,42.68217,73.24600,73.00401,47.27483,182.40499,46.83518,45.62116
455.92904,40.27605,636.95598,582.23295,23.85211,22.35293,326.15399,65.72485
35.02917,36.10015,41.36109,41.66317,45.65406,45.38488,45.25590,44.95406
34.08313,33.52904,108.33502,108.18601,45.32218,48.46215,45.77899,47.79983
39.61301,3172.15705,51.03707,51.37205,44.53492,70.73998,25.35009,70.05978
1141.57510,1141.94798,46.93484,46.74292,46.05889,68.44401,45.27903,68.63308
35.86316,36.45802,73.60506,73.60101,45.56394,70.64795,44.61503,47.10698
53.96414,54.72493,40.25006,40.13610,44.31295,45.72392,66.56098,45.95518
34.51705,34.98197,35.37393,35.34913,44.28220,48.56396,184.64112,48.66099
44.81792,44.56997,62.87885,344.55585,44.96908,66.67399,45.66884,57.09100
56.46110,57.36709,36.36599,36.36408,114.99190,68.08710,113.99293,45.60399
43.86806,43.39004,66.96296,67.22403,43.24889,45.99309,43.89191,45.22514
38.32698,38.50317,65.16695,64.28599,45.48502,71.83504,44.47889,46.03314
40.53807,39.43086,36.33118,36.13210,42.31310,44.58094,43.68591,44.79694
1331.44593,56.09989,35.63285,35.26902,22.18795,46.41914,95.44015,46.02599
111.23514,147.18008,145.39194,106.77791,47.79315,44.55113,45.36796,48.95306
37.48083,37.20903,46.11802,45.98498,65.99092,45.15791,66.26701,43.86210
43.46800,44.56210,53.74599,53.71284,43.57505,46.68283,42.49310,45.71605
36.24296,36.53693,39.09707,39.38508,46.06605,49.57795,45.29881,50.03810
1030.38597,42.21201,40.40217,40.63201,55.98283,45.94016,44.32893,45.12286
36.70788,37.22501,260.49280,527.90689,44.20686,75.47212,44.53087,146.46888
34.70087,502.14887,45.34411,44.88611,44.83914,67.25097,35.41589,67.37089
452.18587,38.30385,36.99017,36.43107,22.15815,44.91210,65.58108,45.77708
45.24517,967.68808,193.60805,39.31022,194.41986,110.34203,47.66202,44.23094
